title,price,link,img,rating,num_rating,bought
"Lenovo LOQ Gaming - 2023 - Everyday Gaming Laptop - NVIDIA GeForce RTX 3050 Graphics - 15.6"" FHD Display - 16GB Memory - 1TB Storage - Intel i5-13420H 13th Gen - Grey",,https://amazon.com/Lenovo-LOQ-Gaming-Everyday-i5-13420H/dp/B0CG7FB7ZY/ref=sr_1_116?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.BcQyO3xC0k-AI7_8atlFmFSFAhHqWqekNHKi2UyozT0CUaUfLhxH7vVA4SS6yj4EN0xOvr3xY3qV8qiXHj3z2wSPeP9lmvlGxflOnwjUbQY_iPwlJFK52uEUK4wVByKQLUtRZlZM1BC0Uo_r2EwkU_Wcylb7YXyXMjbcMGMU8dwNKcKC526Ar_yOEfmgW-6_Fft9wB5dYkXoFKByqsmzkJpZ0jQUOE2-ICzlrWbn0pc.GB-1d9_HI7R6fkmZSKFrAsX1N8XFr2yg9qpqWHoSu4o&dib_tag=se&keywords=laptop&qid=1747751872&sprefix=lapto%2Caps%2C403&sr=8-116&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/513ipEzfwsL._AC_UY218_.jpg,4.3 out of 5 stars,4,No featured offers available
"ASUS Vivobook S AI Powered Laptop, 14"" WUXGA OLED Laptop, Intel Ultra 5-226v, 8-Core, 16GB LPDDR5X RAM, 512GB PCIe SSD, BK, AI Copilot, WiFi 7, Win 11 Home, TWE 64GB Micro SD Card",594.,https://amazon.com/ASUS-Vivobook-Powered-Intel-LPDDR5X/dp/B0DXYNF959/ref=sr_1_138?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.SdnfYiyG-g7hi6xrMODMuZZJv1oXOxk65hCo3uBR__31chwRR9eVLLHnYYe3WDb6-2tIryk86gi022QqATq7YbdQpUlsRxL6yc5C9PvV8KzEGBuntFm6KfmhB27MsDckWlk8LVmuvypk2OXDBMW3zEVnXIHFx0XMFEwhEu_vzOi-ZGtqySAr4Uah22xL3tLDX8RxThTK9-dxPLqJXPqiHahZOazEvuHTK6Zjje8zABI.hUlW0LPkK0bNf6wETjelc_NxcmIth00jwXl8kg22WyI&dib_tag=se&keywords=laptop&qid=1747751891&sprefix=lapto%2Caps%2C403&sr=8-138&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/6170kPP4BOL._AC_UY218_.jpg,4.2 out of 5 stars,31,More Buying Choices
"Lenovo 2024 IdeaPad 1 Gen 7 Laptop, 15.6"" FHD Touchscreen, Intel Core i3-1215U, 24GB RAM, 1TB SSD, SD Card Reader, HDMI, Webcam, Wi-Fi 6, Windows 11 Home, Grey",399.,https://amazon.com/Lenovo-IdeaPad-Touchscreen-i3-1215U-Windows/dp/B0DCW8359T/ref=sr_1_74?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.z9R6n_kXT58_JZlacwsKOaz9ECsyzqnwjXMNdRIBgcY3npRoIfWWErTGpIggkDxObdDoJdounHiBzwzxxvtbCzbHWSrZDuu_3hk7MzEb8Z5Lk93Yl5rpA6L0_Qm3mWu7TU1MPa7YZjQij_WNcEVGwuO1tL93t9kDqSxxaAxTfftjXhosO1GwI9fBIW_4c7OGcNkjZW5v6Vki_khB5CL0uuSHMvKNTyfrIamsygJBb5M.DioCIdlkCJiiUnrKSCskLoAneEfyCuZDDopaFSM3s2U&dib_tag=se&keywords=laptop&qid=1747751820&sprefix=lapto%2Caps%2C403&sr=8-74&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/618D46krKZL._AC_UY218_.jpg,4.1 out of 5 stars,44,50+ bought in past month
"Lenovo IdeaPad 1 15"" FHD Laptop | AMD Ryzen 5 7520U(Beat Intel Core i5-1155G7) | AMD Radeon Graphics | Camera | Blue | 16GB RAM DDR5 | 256GB SSD | Windows 11 S | Bundle with 64GB USB Flash Drive",390.,https://amazon.com/Lenovo-IdeaPad-i5-1155G7-Graphics-Windows/dp/B0DPH6BMWD/ref=sr_1_95?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.yaxiU4NcCBjczWNTRORv5ks6Q5zhJBWorktIlHkgeu2E82JuualbSVg0_3G-s9NtCoqF8UCUQGDNqKIpsHq60n6JoNcqW92gDBMAVjWyT8zM7Ky476iI03MQOyy1v-gt8mgGG8RsriXYfv7gFAdMU2ovYAS1Lp8RYn8ci3hcTbHXNE0vwcWwCrCCE4BdEuUWK4C-gHqFWxMNyKNJq_TpokeL_Nn27nCMPPSGg9qMF9Y.EVp-J0gBlERK-KuTgnnPPDsjWhDqMpcBV7FZM8N6pk0&dib_tag=se&keywords=laptop&qid=1747751838&sprefix=lapto%2Caps%2C403&sr=8-95&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/51P7f4JtKXL._AC_UY218_.jpg,4.5 out of 5 stars,2,More Buying Choices
"14.1"" Laptop Computer 8GB RAM DDR4 256GB SSD Storage Laptops, Celeron N4000 Processors, HD Screen Display Windows 11 for School Students Business, Silver Laptop",179.,https://amazon.com/PONKLOIE-Computer-Processors-Students-Business/dp/B0DN56LBT9/ref=sr_1_144?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.SdnfYiyG-g7hi6xrMODMuZZJv1oXOxk65hCo3uBR__31chwRR9eVLLHnYYe3WDb6-2tIryk86gi022QqATq7YbdQpUlsRxL6yc5C9PvV8KzEGBuntFm6KfmhB27MsDckWlk8LVmuvypk2OXDBMW3zEVnXIHFx0XMFEwhEu_vzOi-ZGtqySAr4Uah22xL3tLDX8RxThTK9-dxPLqJXPqiHahZOazEvuHTK6Zjje8zABI.hUlW0LPkK0bNf6wETjelc_NxcmIth00jwXl8kg22WyI&dib_tag=se&keywords=laptop&qid=1747751891&sprefix=lapto%2Caps%2C403&sr=8-144&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/61vLWekjMKL._AC_UY218_.jpg,3.7 out of 5 stars,9,
"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home, Transparent Silver, M515DA-WS33",273.,https://amazon.com/ASUS-Vivobook-Windows-Transparent-M515DA-WS33/dp/B0CRDCFNHW/ref=sr_1_101?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.9Z0qBJDWL94G4uwT9ZLep8oVANo7KKDbthO8M2RTstIEc27FHqagzd_89tiLkQf3sBwJBWAXnLjqFxOginjBJn54pkif6Tc7J2usPzQUCI_7Men9sRfitPyeULWWKck4hYgpcPWycpImqsz7CACoOLNlP3EEN1nMgwZFIPT1EHRkx72AWihD-AUUKtlYjJEdQfZf2uPz0krl45JzKBlU0VPE4S2KKISgepFI3aHKsV8.JKTSznlHWyik4ZP1siDAew8giU8v5US1Pv0K5OQNZUw&dib_tag=se&keywords=laptop&qid=1747751854&sprefix=lapto%2Caps%2C403&sr=8-101&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/61FYc36J93L._AC_UY218_.jpg,4.2 out of 5 stars,185,50+ bought in past month
"15.6'' Laptop Computer,1080P FHD Display,8GB RAM,512GB SSD, Intel N5095 CPU Business Laptop,Numeric Keypad,Backlit Keyboard,Fingerprint Unlock,SD Card Reader,Webcam, 5GWiFi, HDMI,Silver",190.,https://amazon.com/Trygood-Computer-Business-Keyboard-Fingerprint/dp/B0DLGW67C4/ref=sr_1_87?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.yaxiU4NcCBjczWNTRORv5ks6Q5zhJBWorktIlHkgeu2E82JuualbSVg0_3G-s9NtCoqF8UCUQGDNqKIpsHq60n6JoNcqW92gDBMAVjWyT8zM7Ky476iI03MQOyy1v-gt8mgGG8RsriXYfv7gFAdMU2ovYAS1Lp8RYn8ci3hcTbHXNE0vwcWwCrCCE4BdEuUWK4C-gHqFWxMNyKNJq_TpokeL_Nn27nCMPPSGg9qMF9Y.EVp-J0gBlERK-KuTgnnPPDsjWhDqMpcBV7FZM8N6pk0&dib_tag=se&keywords=laptop&qid=1747751838&sprefix=lapto%2Caps%2C403&sr=8-87&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/71wbvWqASSL._AC_UY218_.jpg,4.5 out of 5 stars,12,Typical:
"ACEMAGIC Laptop, 15.6-inch Windows 11 Pro Laptop with Intel N97 Processor, 8GB DDR4 RAM, 256GB SSD, 1080P FHD Display, WiFi 5, Bluetooth 5.0, USB 3.2, Type-C Port, 38Wh Long-Lasting Battery",299.,https://amazon.com/ACEMAGIC-15-6-inch-Processor-Bluetooth-Long-Lasting/dp/B0F6CBBZ3D/ref=sr_1_131?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.SdnfYiyG-g7hi6xrMODMuZZJv1oXOxk65hCo3uBR__31chwRR9eVLLHnYYe3WDb6-2tIryk86gi022QqATq7YbdQpUlsRxL6yc5C9PvV8KzEGBuntFm6KfmhB27MsDckWlk8LVmuvypk2OXDBMW3zEVnXIHFx0XMFEwhEu_vzOi-ZGtqySAr4Uah22xL3tLDX8RxThTK9-dxPLqJXPqiHahZOazEvuHTK6Zjje8zABI.hUlW0LPkK0bNf6wETjelc_NxcmIth00jwXl8kg22WyI&dib_tag=se&keywords=laptop&qid=1747751891&sprefix=lapto%2Caps%2C403&sr=8-131&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/71coGzpjc-L._AC_UY218_.jpg,5.0 out of 5 stars,5,Typical:
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.,https://amazon.com/sspa/click?ie=UTF8&spc=MTo0OTI1OTEwMTc1ODc2MjM0OjE3NDc3NTE4NzI6c3BfYnRmOjMwMDc3MDIzNDM0MTgwMjo6MDo6&url=%2FA315-24P-R7VH-Display-Quad-Core-Processor-Graphics%2Fdp%2FB0BS4BP8FB%2Fref%3Dsr_1_133_sspa%3Fcrid%3DVSZ2L9GMB7QD%26dib%3DeyJ2IjoiMSJ9.BcQyO3xC0k-AI7_8atlFmFSFAhHqWqekNHKi2UyozT0CUaUfLhxH7vVA4SS6yj4EN0xOvr3xY3qV8qiXHj3z2wSPeP9lmvlGxflOnwjUbQY_iPwlJFK52uEUK4wVByKQLUtRZlZM1BC0Uo_r2EwkU_Wcylb7YXyXMjbcMGMU8dwNKcKC526Ar_yOEfmgW-6_Fft9wB5dYkXoFKByqsmzkJpZ0jQUOE2-ICzlrWbn0pc.GB-1d9_HI7R6fkmZSKFrAsX1N8XFr2yg9qpqWHoSu4o%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747751872%26sprefix%3Dlapto%252Caps%252C403%26sr%3D8-133-spons%26xpid%3DFDep6LU0NAQUg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,4.2 out of 5 stars,"3,528",7K+ bought in past month
"Dell Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",328.,https://amazon.com/Dell-Inspiron-3511-Non-Touch-Laptop/dp/B09GYN91J9/ref=sr_1_72?crid=VSZ2L9GMB7QD&dib=eyJ2IjoiMSJ9.z9R6n_kXT58_JZlacwsKOaz9ECsyzqnwjXMNdRIBgcY3npRoIfWWErTGpIggkDxObdDoJdounHiBzwzxxvtbCzbHWSrZDuu_3hk7MzEb8Z5Lk93Yl5rpA6L0_Qm3mWu7TU1MPa7YZjQij_WNcEVGwuO1tL93t9kDqSxxaAxTfftjXhosO1GwI9fBIW_4c7OGcNkjZW5v6Vki_khB5CL0uuSHMvKNTyfrIamsygJBb5M.DioCIdlkCJiiUnrKSCskLoAneEfyCuZDDopaFSM3s2U&dib_tag=se&keywords=laptop&qid=1747751820&sprefix=lapto%2Caps%2C403&sr=8-72&xpid=FDep6LU0NAQUg,https://m.media-amazon.com/images/I/81x8wuiiloS._AC_UY218_.jpg,4.1 out of 5 stars,473,400+ bought in past month
