shop_name,Review,Location,Number,img
রিসিত কম্পিউটারস্ লিঃ,৪.৩,৪.৩(৫৯),01712-922086,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKF0g0d3lCPA1XvXzxzZXj-scPgLdRtMKkcVRR4k1KMMNdTOx0Ym1PnDCWHP9o9bomkKhKuK0woKWz2rwRa94iTp17e62IT3yY2uv-xVYKCOsvcxlRYjWawyDvaHzIzIt_yVc=w122-h92-k-no
অ্যান টেকনোলজি,৩.৫,৩.৫(৬),01778-605447,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnKCO0wk2ERgPxZ2C8n6nwA8uwSbBSJqZysWLztSNoOp3cndIixUEv_rmYkaI8s_oi1JAQpGw7nze6xDRrgdxs1nJmz1k4kVJTz07kGfqljW3Qa6hpT0aCaTFaVKfbGcxjYEEh=w122-h92-k-no
গ্লোবাল ব্র্যান্ড পিভিটি এলটিডি. বানানি ব্রাঞ্চ,৪.৪,৪.৪(২৫),01977-476515,https://lh3.googleusercontent.com/p/AF1QipNhDVxRmeb7gPqIVtrLX76G_LuD-a3eyWCpkB5M=w122-h92-k-no
এমসি সলিউশন বিডি ( মিরপুর ব্রাঞ্চ ),৪.০,৪.০(৩২),01407-056597,https://lh3.googleusercontent.com/p/AF1QipO-GdXa24uj8Inhz4Hz7kVRixmeKtlgTRHISQ9B=w186-h92-k-no
গ্লোবাল ব্র্যান্ড পিভিটি এলটিডি. বানানি ব্রাঞ্চ,৪.৪,৪.৪(২৫),01977-476515,https://lh3.googleusercontent.com/p/AF1QipNhDVxRmeb7gPqIVtrLX76G_LuD-a3eyWCpkB5M=w122-h92-k-no
এমসি সলিউশন বিডি ( মিরপুর ব্রাঞ্চ ),৪.০,৪.০(৩২),01407-056597,https://lh3.googleusercontent.com/p/AF1QipO-GdXa24uj8Inhz4Hz7kVRixmeKtlgTRHISQ9B=w186-h92-k-no
ল্যাপটপ বিডি,৪.৬,৪.৬(২০),01838-994422,https://lh3.googleusercontent.com/p/AF1QipOh82hBrZWwnzkgdPofSgqa8I8Eway5XtfEyd6_=w92-h92-k-no
Bytebliss,৫.০,৫.০(১০),01777-902767,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqE8EVaIvLyREzUdJ8AO0v3Ji5q8Qq-Q-3I7QCVCnier2A1jQ35Rv0TwM2FziBiMqUiCu5JeF4f7yEVThcMApvsgHDqB6_pKuS5oNIndWA9mQsfNB6UOk-UyZdl8CvEyOJr8LiEUQ=w122-h92-k-no
"আরোজ টেকনোলজি বিডি, মাল্টিপ্ল্যান সেন্টের ব্রাঞ্চ",৪.৪,৪.৪(৩২),01970-138150,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr7matM_VgD7d6v8kZOOMmNTseYmkR-RgzA-vRvobwGnL0N_sa4tk9UmPoxIztSAUAMi7gDbL2uUeBeEY1n2Z44s5Q3SGuI65qdQXDYIYG062t1AbQrny-_2QaqP2cVma-EYU7ung=w163-h92-k-no
এমসি সলিউশন বিডি (যমুনা ফিউচার পার্ক),৪.৫,৪.৫(৩৮),01970-328858,https://lh3.googleusercontent.com/p/AF1QipPb-rxo3ahw-XYKdQyKY4sK1EHnjzoyfElVyot9=w92-h92-k-no
ডেফোডিল কমপিউটারস লিমিটেড,৩.৭,৩.৭(১৭),01713-493213,https://lh3.googleusercontent.com/p/AF1QipNg3TLMYDZvnyjkVTqYzOBbnBcUHc82KVziU8TA=w204-h92-k-no
সিস কম্পিউটার,৪.৩,৪.৩(৩১),01678-797802,https://lh3.googleusercontent.com/p/AF1QipNEX-gzBmGw944PNpzH58j0-Q5zAi1WmzmxK3xC=w122-h92-k-no
সিস্টেম প্যালেস ইট,৫.০,৫.০(২),01718-030644,https://lh6.googleusercontent.com/UeuLkcBpp8VbMLPVyw7-5j_XuSnLHSPdQ1HG4O0Eo743qsfv6Rf_jLjBMVm6wGA=w163-h92-k-no
ওয়াল্টন ডিলের পয়েন্ট,৪.০,৪.০(১),01745-509901,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nohRtw_BOyskP9-e3AQ3fC30rSWSiwE_PVR3h7km8z6ankbKcqM8Olhc_LIdSXrihMEGkKCc-nsR_BY1kSWoxwO8Y7rlNl796doRhU4CNDEnq625h7BywJ1qOghuS0WY_39GB6WBw=w80-h142-k-no
অনিক্স কম্পিউটার্স সিস্টেম,৪.৬,৪.৬(২০),01713-452531,https://lh4.googleusercontent.com/LqH801Z2vwPnUplm9T1gblzKdw7dK1etw9OAnrxI7AjKDjcIi1r6UsY4DG9yRBpK=w163-h92-k-no
বাইট সিটি বিডি,৪.৯,৪.৯(১৬৫),01977-409140,https://lh3.googleusercontent.com/p/AF1QipOmqovdK_BO0dUeoWfgffgzQE-tkdcd6Fk3-SGA=w122-h92-k-no
গ্লোবাল ব্র্যান্ড প্রাইভেট লিমিটেড আইডিবি ভবন ব্রাঞ্চ,৪.২,৪.২(৭৪),02-9183291,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2Y9D13GJOMlfcWcJxqsEMJEnbvkGLA0N0kTMy6tNaYPCHWK596Bt5hU0Zl0N_eCuCdubJmBD56ZMN0dQDsjNPNnlrj5ADCsgeiT3lxnmrhwJMSNryoA1bbC_o2Q5CIkM84fOH=w122-h92-k-no
"সেবা কম্পিউটার, খা-168/2, মিডল বাদ্য, বাদ্য, ঢাকা-1212",৫.০,৫.০(২),01625-008600,https://lh3.googleusercontent.com/p/AF1QipPgj5Yvq7Uczu02nZptuwydWUGkRn9Z9ekBXjLU=w80-h113-k-no
নেট ষ্টার প্রাইভেট লিমিটেড,৩.১,৩.১(২৮),01678-093084,https://lh3.googleusercontent.com/fQRwytGeB7KAVEIBC63_Gr5o1SCUjjvq5rswIjUQ1NX2Z9HNP7JIOCEyF3OwbQYx=w163-h92-k-no
খান দত কম,৪.৮,৪.৮(৪),01979-853684,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogz4zQOJ4Mfliy_Qj2o7ZqvKMtW9uiQyC4iNQiwwNolXHemCD74Cy1y7W61q7UE_s55YZERokc1jsuNsfNvAKdvG60pBiDX84RjOQRqxT0Y75cFUU3n_K4M7ruJv46MVtmcg4j=w122-h92-k-no
আইডিবি ভবন,৪.৫,"৪.৫(২৭,৭৩৪)",01642-399370,https://lh3.googleusercontent.com/p/AF1QipOW6xfSPacqtMdXFYcqIXl4TSsIu1qyYZBJdolu=w122-h92-k-no
গ্রিন টেকনোলজি,৩.৭,৩.৭(১০৭),01315-090371,https://lh3.googleusercontent.com/p/AF1QipMJ4YRjgN0G2EBdFOkqEZEUebgX9zobFbEohvcb=w195-h92-k-no
এপ্ল্যানেট,৫.০,৫.০(৪৪),01712-619867,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqg5a0KTQYS8tF1z7Xl7XrnyfvUZ8uYp9947DPuoypJGFzg09LlGBp6xeBuHhxpGvnsJFPjR6Wu7rWv5YO6FjGq75ZsjaPQKRLDHA1xiYUy7D96jS5iOaaZwB8KcYqVcU_2P50cKQ=w122-h92-k-no
টেকনো কেয়ার কম্পিউটার্স এলটিডি.,৪.৩,৪.৩(১২),01711-341082,https://lh3.googleusercontent.com/04GWZfBHYnIWTnasRavO2DTDyBQ7NpeARIqh-67gEMyvm6GQhCetON8dW7KRIDO6=w163-h92-k-no
কম্পিউটার ভিলেজ - আইডিবি ভবন ব্রাঞ্চ,৪.৮,৪.৮(১০),09613-605905,https://lh3.googleusercontent.com/p/AF1QipPcB1rGmX2SQUkCISqF3wsr4-YRbPa6LJSd83Jb=w122-h92-k-no
ভারটেক,৫.০,৫.০(২),01810-023514,https://lh3.googleusercontent.com/p/AF1QipOvXs8LNvGT9bVSRyrKDNewu6PfhJRpVc2c7NxN=w89-h92-k-no
আলটিমেট কম্পিউটার সলিউশনস (ইউসিএস),৪.৯,৪.৯(২০),01912-490620,https://lh3.googleusercontent.com/p/AF1QipOoICMhGUeVpjdR7vUXatbycrwmJT4mGdJF80QF=w80-h106-k-no
"এপ্ল্যানেট শপ 41 ব্লক ডি লেভেল 06 বাসুন্ধরা সিটি শপিং কমপ্লেক্স পন্থপথ ঢাকা-1215, ঢাকা, বাংলাদেশ",৫.০,৫.০(১),01712-619867,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8gx6R-ZqI8ZxqNUEefbTnkY7z72GkzfDdgzQ2ceSmxZMN0Eh_mURiRWRT-RuI-28vK7zlKyBxfo5WtnBV3NIbNvcg8NYe6fYfjdHaZv_MkaDZmdlXMAGxrQfZpEy1yvAG6UMF=w204-h92-k-no
কম্পিউটার ভ্যালি লিঃ.,৩.৩,৩.৩(১২),01711-323723,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9o6c5mzUNEouinuhkdCwhbAkAYmHvtd5gPVYGjmEylW1kaUcy-ySdi9gP16wFHd8NCKAgOE3tPlxGETEYA3XmtiWdW9d-uZ37aCQ5bqOJUWsOfmQqAL4VmZpYXfOvatcxp6S9=w122-h92-k-no
Bright Star IT,৫.০,৫.০(২),01729-389621,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npugJPHb_rucf9ti6yCQ0JZ7ua87ixPHfAjmOYazvmyGHF_Tgt09asKjaKpih8G0WbvwIX0V1VlKZLDSerdziWe44mWCEjmmKvX8FDNWIVku9a026QZALAgyHSpBNZV9xAUnyA=w80-h106-k-no
ডলফিন কম্পিউটার্স এলটিডি,২.৬,২.৬(৯),01713-493175,https://lh3.googleusercontent.com/p/AF1QipO7m91zyRueBVaiE5HTGhrWBYcgDnyOT11MeYbh=w183-h92-k-no
Tech Marvels,৪.৯,৪.৯(৪১),01609-313029,https://lh3.googleusercontent.com/p/AF1QipM6nCm8QZwdo0CFqWT1ijPnlliYnpyI8-w4FaC6=w80-h92-k-no
হোয়াইটসেল ইট শপ,৫.০,৫.০(১০),02-55049677,https://lh3.googleusercontent.com/p/AF1QipPu0dEiuLTTvjgeJLj2g2jaUQtyyT3yAdckwNWB=w138-h92-k-no
ইন্টারন্যাশনাল কম্পিউটার ভিশন লিঃ,৫.০,৫.০(৫),01910-137580,https://lh3.googleusercontent.com/wa_5AWt9JJW3e88p9rYjQl-5Jo1Q5zols51XVoMfeaIo0_GbXx0twVi6m-zi9rNnwQ=w163-h92-k-no
অ্যাপোলো গ্যাজেট,৪.৯,৪.৯(১৮৫),01982-628412,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npO0CNTtc1IwXAtSt0Lqu6lraQPrLYeZCMR5mGUx2WFpriDJHVi94p785antQFkXl6U8SMqOGfb_dzQGAdA6-ZstTwP3G7-L59JzXB1bKaeMtcYoC5oRShL51u5xedhlRBFgwY=w124-h92-k-no
Creatus Computer Ltd. (BCS Computer City),৪.৬,৪.৬(১৩),01792-162416,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_MCpUatfV_l7_ZUnlTqOkNSNMgOiHBKM2KKwL-8nl-PBSHNpceMFwoGdFGeuhvmfwNan4L3zYCxGa9nCnyIPgo0lDpN-Dnv4EPff1KpGp43DZPd3-cmpNmuU5f92SaGMSnZMXT3vVAUw=w122-h92-k-no
ইউনাইটেড কম্পিউটার সেন্টার,৩.৯,৩.৯(২২),01833-331616,https://lh3.googleusercontent.com/p/AF1QipOOe0M2fVxLqRFbuKQ9oNcicqTDeTfBzI69ymDr=w163-h92-k-no
ল্যাপটপ লিজেন্ড,,কোনও রিভিউ নেই,01720-345071,https://lh3.googleusercontent.com/p/AF1QipOyY2ESu2-aXQJqGLn3xdCIz7b0e9wOWY3pr41F=w184-h92-k-no
আসুস এক্সপেরিন্স জনে | ফ্যাস্ট্র্যাক সলিউশন,৪.০,৪.০(৩),01747-975885,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5rkLkBv30eKPU5Fv75AuvOOZBPk4RvBq87y3dAygTzdGh6-ZH3SMw8YVYz4i6kTAkTIkjHij-pi_knlOuGFGeJZYKw0K0KTTE_5DJ6elVCDXBqOQFSLnyFp0bSQ3hG-yfLurCUg=w92-h92-k-no
মাইক্রোগেটস ইট,৪.৮,৪.৮(১৩৯),01883-635202,https://lh3.googleusercontent.com/p/AF1QipNS-C85sYNm2ZEyi0fz2Bvq01YWej5rxIm3kpRq=w122-h92-k-no
ফ্লোরা লিমিটেড,৪.২,৪.২(৪৮),091-83193,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCd-WA8-_FVJ38_5eCdYGP9lC0k5za-o71wykVRJcE9OuSnsuKorD7weQ6Dcy52DeAUlYXUhDaApBwoJIpD9VzuHU8hz52t9sJK__ieTsnJI3nt9hV4KZwj2GqbfPWoLf7JZ7bhQ=w122-h92-k-no
এক্সিকিউটিভ মেসিনারিজ লিঃ,৪.১,৪.১(৩২),01978-827753,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npo0bGZ65UWbvGa3zeGECcyJPdKM67pVr68OU2VPPiCPdna9wcdjng2Ba5oAIFyn-HEz94P93FIDjEIVFIrAhzZsg2SLsJ7QJDCzsCcyfaCB8C2b09hiVbHM_2xv4RCVQeXzLHN=w122-h92-k-no
রায় ইট গ্যাজেটস,৫.০,৫.০(৬),01828-409949,https://lh3.googleusercontent.com/p/AF1QipOU9sFeos2gcMAenzm03VT7CVqhfLSYbWQ17F6_=w92-h92-k-no
কম্পিউটার জোন,৩.৯,৩.৯(৩১),01760-008617,https://lh6.googleusercontent.com/RKGZz9IILJvQ8bLUEVKssSUKKo-BzV0g9lW0_baZaOe_JrN9cM3SKMhIbliQDhooMg=w163-h92-k-no
