shop_name,Review,Location,Number,img
কম্পিউটার সিটি টেকনোলজিস লিমিটেড,৪.১,৪.১(১৪৪),01938-858811,https://lh3.googleusercontent.com/p/AF1QipMOD-q5765nZ5KJo9HVdH_kkMDIW6KP7on88zMf=w122-h92-k-no
এমসি সলিউশন বিডি ( বাসুন্ধরা সিটি ব্রাঞ্চ ),৩.৭,৩.৭(৮৯),01770-328858,https://lh3.googleusercontent.com/p/AF1QipPFnou0fU8EciKXgQILIfitm4hi812IWhppSKem=w122-h92-k-no
Binary Logic | বাইনারি লজিক | Computer Shop,৪.৬,৪.৬(২২৯),01611-449778,https://lh3.googleusercontent.com/0qH54nHD4eompnOnL02J3JXuaqMZhcNeBBWuC2Ty_GPfnfhu210Gj5jK8wEp6267=w122-h92-k-no
গ্যাজেটস প্ল্যানেট,৪.১,৪.১(৭৪),01714-112500,https://lh3.googleusercontent.com/p/AF1QipM1NqLWXSJcsxFJgD25y1sr1OyPirQAIWi9hVD9=w122-h92-k-no
Basic Technologies,৪.৯,৪.৯(১০০),01916-626248,https://lh6.googleusercontent.com/XbOQwSuc6x6wYN6vQzbWsms4FEFO74jvCbLKXe5FHj80xaeodg8uCBJU2IIFVChc=w163-h92-k-no
Pickaboo,৩.৫,৩.৫(৩৪৬),09666-745745,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrL8O8CJDs6nzxqh78PWHoI0Q0Rys4kqzmy6EJ9RHIytCSX228hZ4zKuRmW1tqJjccJwQBDAVQAqEiPfbe0gLMTq-hYIyheE2-IH7GltzWfSM0wqKTqznnoNwW4fxBBuFBqnbtQ3A=w122-h92-k-no
ীর্ণ গুলশান ব্রাঞ্চ - এইচপি পার্টনার,৪.৮,৪.৮(৪২),01777-734204,https://lh3.googleusercontent.com/p/AF1QipNqT7auTVw9l--N4rS_52Th2bghUGr0V2jXe30k=w122-h92-k-no
ল্যাপটপ ওয়ার্ল্ড বিডি,৪.৪,৪.৪(৩৪),01861-999948,https://lh3.googleusercontent.com/p/AF1QipM6f7JJHOKbr0qetwYgIjOxXZWtAZrTTkh8sEk_=w122-h92-k-no
এসার মল - এক্সক্লুসিভ স্টোর,৪.২,৪.২(২৪৯),01708-484336,https://lh3.googleusercontent.com/p/AF1QipO1g9W0zpr1eYsktVFBg4sTBmAZQEoiBirNBEK6=w122-h92-k-no
ডিএসএলআর জোন,৪.১,৪.১(৬৪),01739-993335,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npz7r71KWBgvrFhZNLxqloNZtHVL0aHFwDK91t9d1TRdjI33VUh-685NPt_s1jxDgixJbVUzP_4hu_UJyVV4eRcHttUOOh19D08JyyPCAzstm0alJtLKfpd6EPVxCVEMzh0KclS=w163-h92-k-no
টেকল্যান্ড - বিডি।।,৪.০,৪.০(৪২০),09613-828201,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noszAA7KJL5L07eaCsFVfDKYmYutsWYwbS_xso44PyPHP75Ywto1aW49kXOVE28uimh5YIiOc9ib9GJch_OYgJoTWR53Ycv0UfzF2bUfllMBQ3XoXcWzO0HwPbsMNbVw410pZI=w163-h92-k-no
অ্যাবসুলেট টেকনোলোজি,৫.০,৫.০(১০),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqx_jkgj0NUh5pUDq4BQtfhIqtoGIpwzvVqmgbCnqht6IbLwCFNohpPDHgqmkyrg4qNixTXo4tZ3cbZ3MLw1DYOmT27fBu0F8hTDVwV7PRyFhe5gshAmxjQkag1EBoLdJ3Vi-7rrA=w163-h92-k-no
বাংলাদেশ ল্যাপটপ গ্যালারি,৫.০,৫.০(৭৪),01687-321007,https://lh3.googleusercontent.com/p/AF1QipPHXF6rys5_IHOlmFGFviec5brx_TjaUHHQy8YG=w204-h92-k-no
রায়ান্স কম্পিউটারস - ইস্টার্ন প্লাস - ঢাকা,৪.২,"৪.২(১,৮২২)",01755-513983,https://lh3.googleusercontent.com/p/AF1QipME_sPYcIplCcXqahCPLrD-4dAnfLTGl77sXZC7=w129-h92-k-no
One Touch Variation,৪.৫,৪.৫(২),01814-889150,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4Kxo46a-lIVxQzN4DEShvA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=7.4448304&pitch=0&thumbfov=100
ঢাকা ভাইস,,কোনও রিভিউ নেই,01534-517667,https://lh3.googleusercontent.com/p/AF1QipO67TZd9oPDth6rusgkZVHWSc48ucRvuafUgRv_=w92-h92-k-no
ল্যাপটপ সোর্স,৪.২,৪.২(১৪৪),01724-406156,https://lh3.googleusercontent.com/p/AF1QipPN61tjpGrgv9uMN4lj4eDBB4DRs_6iNGIUd9eQ=w122-h92-k-no
সর্দার টেক | ইউজড ল্যাপটপ শপ ইন ঢাকা,৪.৮,৪.৮(১৯),01733-449239,https://lh3.googleusercontent.com/p/AF1QipNltMW_o1Yo2LDyA2PnpOMnq9o7QdZRM4WST5tT=w122-h92-k-no
ল্যাপটপ রিপেয়ার সার্ভিস সেন্টার (আইটি ফিক্স বিডি),৪.৭,৪.৭(১১৪),01784-869154,https://lh3.googleusercontent.com/p/AF1QipPgOUJLSLQYHnZf_xX2olj71LqszBlpRFocnISl=w122-h92-k-no
আরএস কম্পিউটারস সিস্টেম,৪.৩,৪.৩(১৭০),09613-654033,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMjkkmZHgfm53VYOgBQqlki9h7bXBUwqJBR39HeHhmpR2R7wmbld-6zpuXYhdS1CWbQ4VyRF3n0RchFwWJITCUv8HRNnCoFA3gd_Ci77uA_dcKe2TaAACMm7_bwjgysC6fD_mi=w80-h96-k-no
Vertech - Bashundhara City Branch,৪.৮,৪.৮(২০),09638-148148,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHiLZ0UnRCh2yqFaM3340mPSUWLQVTQVHvBJAsE6eT6UwfnHv2HXXkevtuQjbeHLlM8YEaTYCECp01KkIWJnxUXgex9u1pYJ4VR8vcmoWx4Vs37Qcq1_cinmddT5Pu7UPEyfw4nw=w80-h106-k-no
কম্পিউটার সোর্স লিমিটেড (গুলশান শাখা),৩.৮,৩.৮(১০৫),01713-333294,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2YH8-hq6fz0K69uS60Drv-hUeRvMMc8sWyA-gjAb_yBBrlz0cc_2WuqghecwAR9gOxP-4_AsBxailPCKBNOEr8PdHJDBNp3HIHWDEwLj23gc-EreO9skLnoUHhRiTvdDoKwPt=w122-h92-k-no
এইচটি কম্পিউটার & অ্যাকসেসরিজ,১.০,১.০(১),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKUYjBrrjo0iC5ODrAp8shQS1aIFavSQNUoKuomOA8Whofb1ZZzkvgGriXOdAgtl8Hd_CgF8AGsc3yOooA6NkT8X6UP6dHTeG-DYWCx_Tff24fbgSfWJflk2Wy29eV35amdD6tLQ=w80-h173-k-no
কম্পিউটার মানিয়া বিডি | যমুনা ফিউচার পার্ক ব্রাঞ্চ,৫.০,"৫.০(১,৬২৫)",01331-528483,https://lh3.googleusercontent.com/p/AF1QipOF-uIA63lvIc8S1cqJ4mSZAFM-bw3ZmUXzaqJJ=w92-h92-k-no
কম্পিউটার সোর্স লিমিটেড(আই ডি বি ব্রাঞ্চ),৪.২,"৪.২(১,০০৮)",01725-159458,https://lh5.googleusercontent.com/LF_V_-4Yw38rIkRz8lrayWo5jsozLm9d4uCcFLqiKXBi_JwvVag5HVzgwdP1tnGdIA=w163-h92-k-no
"আরএফএল বেষ্ট বায় - নাখালপাড়া, তেজগাঁও",৩.৯,৩.৯(৭৬),01844-200393,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjusJUDIHd_jW9zjm3adYW6yVRBR6uQtyJ8JNSbgxtT9fwcFZBAXNt6O6N81nihHLsgfiJU0-XdCMG6cQ4oLf26FTmVrtqY0CEyNzwO21GWWII_w9kL1MsKwraCv47zRvk1ujgww=w80-h106-k-no
নিউ নেটওয়ার্ক & টেকনোলজি,৪.৯,৪.৯(৫৮),01618-871169,https://lh3.googleusercontent.com/p/AF1QipOBM8qaHlBddabBkkHDHuEZ_oPnuquziU0bCtZA=w122-h92-k-no
ল্যাপটপ ড্রিম,৪.৩,৪.৩(২৮),01912-627028,https://lh6.googleusercontent.com/6kFEpEuJzujSYCtmIwbppE8sXDhm9jeOTxl20J_izITCadt0JRN0faswe6IEgBpsWg=w163-h92-k-no
